diffNuisances run on /nfs/dust/cms/user/sobhatta/work/stopPairToTau/combine/CMSSW_10_2_13/src/closureTestDir/SMS-T8bbstausnu_mStop-200to1800_XCha0p5_XStau0p5_tauTau_analysis_DYveto_pseudodataB_combined_card2016_card2017_card2018/combineDatacard_SRB_500_350_pseudodataB/fitDiagnosticsTest.root, at 2021-11-02 02:30:39.000581 with the following options ... {'absolute_values': False, 'show_all_parameters': True, 'format': 'text', 'stol2': 0.5, 'pullDef': '', 'vtol': 0.3, 'stol': 0.1, 'plotfile': '/nfs/dust/cms/user/sobhatta/work/stopPairToTau/combine/CMSSW_10_2_13/src/closureTestDir/SMS-T8bbstausnu_mStop-200to1800_XCha0p5_XStau0p5_tauTau_analysis_DYveto_pseudodataB_combined_card2016_card2017_card2018/combineDatacard_SRB_500_350_pseudodataB/plots.root', 'skipFitB': False, 'sortBy': 'correlation', 'vtol2': 2.0, 'poi': 'r', 'skipFitS': False}

name                                              b-only fit            s+b fit         rho  approx impact
syst2018_tauTriggerSF                            +0.00, 0.73     * +0.00, 0.75*     *-0.22*      -0.218
tauFakeRateRegion                                -0.00, 0.83     * -0.00, 0.85*     *-0.21*      -0.237
stat2018_fake_SRB4                               -0.00, 0.88     * -0.00, 0.90*     *-0.18*      -0.216
scale                                            -0.00, 0.95        -0.00, 0.97       -0.17      -0.212
normalization                                    -0.00, 0.93        -0.00, 0.94       -0.16      -0.195
syst2017_tauTriggerSF                            +0.00, 0.72     * -0.00, 0.72*     *-0.14*      -0.134
stat2017_fake_SRB5                               +0.00, 0.95        +0.00, 0.96       -0.14      -0.177
stat2017_TT_SRB5                                 +0.00, 0.94        +0.00, 0.95       -0.14      -0.181
syst2018_tauIDisoSF                              -0.00, 0.90     * +0.00, 0.91*       -0.12      -0.147
stat2018_fake_SRB10                              +0.00, 0.89     * +0.00, 0.90*       -0.12      -0.141
stat2018_DY_SRB5                                 +0.00, 0.97        +0.00, 0.97       -0.11      -0.143
stat2016_fake_SRB5                               -0.00, 0.90        -0.00, 0.91       -0.11      -0.137
stat2018_fake_SRB5                               +0.00, 0.97        +0.00, 0.98       -0.10      -0.127
stat2017_fake_SRB4                               +0.00, 0.92        +0.00, 0.92       -0.10      -0.119
stat2016_fake_SRB9                               -0.00, 0.87     * +0.00, 0.88*     *-0.10*      -0.111
syst2016_tauTriggerSF                            +0.00, 0.81     * -0.00, 0.81*     *-0.09*      -0.098
