diffNuisances run on /nfs/dust/cms/user/sobhatta/work/stopPairToTau/combine/CMSSW_10_2_13/src/closureTestDir/SMS-T8bbstausnu_mStop-200to1800_XCha0p5_XStau0p5_tauTau_analysis_DYveto_pseudodataSB_combined_card2016_card2017_card2018/combineDatacard_SRB_500_350_pseudodataSB/fitDiagnosticsTest.root, at 2021-11-02 03:40:25.286624 with the following options ... {'absolute_values': False, 'show_all_parameters': True, 'format': 'text', 'stol2': 0.5, 'pullDef': '', 'vtol': 0.3, 'stol': 0.1, 'plotfile': '/nfs/dust/cms/user/sobhatta/work/stopPairToTau/combine/CMSSW_10_2_13/src/closureTestDir/SMS-T8bbstausnu_mStop-200to1800_XCha0p5_XStau0p5_tauTau_analysis_DYveto_pseudodataSB_combined_card2016_card2017_card2018/combineDatacard_SRB_500_350_pseudodataSB/plots.root', 'skipFitB': False, 'sortBy': 'correlation', 'vtol2': 2.0, 'poi': 'r', 'skipFitS': False}

name                                              b-only fit            s+b fit         rho  approx impact
syst2018_tauTriggerSF                            +0.13, 0.71     * +0.00, 0.75*     *-0.23*      -0.241
tauFakeRateRegion                                +0.13, 0.81     * +0.00, 0.85*     *-0.20*      -0.238
stat2018_fake_SRB4                               +0.12, 0.90     * +0.00, 0.91*       -0.18      -0.223
syst2017_tauTriggerSF                            +0.07, 0.72     * +0.00, 0.72*     *-0.16*      -0.157
scale                                            +0.15, 1.00        +0.00, 0.97       -0.15      -0.200
normalization                                    +0.11, 0.93        -0.00, 0.94       -0.15      -0.191
syst2018_tauIDisoSF                              +0.07, 0.87     * -0.00, 0.90*       -0.14      -0.175
stat2017_TT_SRB5                                 +0.10, 0.95        +0.00, 0.96       -0.14      -0.181
stat2017_fake_SRB5                               +0.11, 0.96        +0.00, 0.96       -0.13      -0.177
stat2018_fake_SRB10                              +0.08, 0.89     * +0.00, 0.91*       -0.11      -0.141
stat2018_DY_SRB5                                 +0.08, 0.99        +0.00, 0.98       -0.11      -0.142
stat2016_fake_SRB5                               +0.08, 0.91        +0.00, 0.91       -0.11      -0.143
syst2016_tauTriggerSF                            +0.05, 0.80     * +0.00, 0.81*     *-0.10*      -0.115
stat2017_fake_SRB4                               +0.07, 0.93        -0.00, 0.93       -0.10      -0.124
syst2016_tauIDisoSF                              +0.05, 0.85     * +0.00, 0.85*     *-0.09*      -0.107
stat2018_fake_SRB6                               -0.05, 0.73     * +0.00, 0.72*     *+0.09*      +0.086
stat2018_fake_SRB5                               +0.09, 1.04        +0.00, 0.98       -0.09      -0.127
stat2016_fake_SRB9                               +0.06, 0.87     * +0.00, 0.89*     *-0.09*      -0.111
stat2018_DY_SRB4                                 +0.06, 0.98        +0.00, 0.98       -0.08      -0.111
stat2017_otherSM_SRB5                            +0.06, 1.00        -0.00, 0.99       -0.08      -0.102
stat2017_fake_SRB1                               -0.05, 0.77     * -0.00, 0.77*     *+0.08*      +0.084
stat2017_TT_SRB4                                 +0.05, 0.95        -0.00, 0.95       -0.08      -0.102
syst2017_tauIDisoSF                              +0.04, 0.93        -0.00, 0.93       -0.07      -0.086
stat2018_otherSM_SRB5                            +0.05, 0.99        +0.00, 0.99       -0.07      -0.095
stat2018_fake_SRB7                               -0.04, 0.78     * -0.00, 0.78*     *+0.07*      +0.076
stat2018_fake_SRB12                              -0.03, 0.77     * -0.00, 0.77*     *+0.06*      +0.064
stat2018_fake_SRB1                               -0.03, 0.74     * +0.00, 0.74*     *+0.06*      +0.064
stat2018_TT_SRB5                                 +0.05, 0.99        +0.00, 0.99       -0.06      -0.088
stat2017_fake_SRB7                               -0.04, 0.82     * -0.00, 0.82*     *+0.06*      +0.070
stat2016_fake_SRB3                               -0.04, 0.88     * +0.00, 0.88*     *+0.06*      +0.069
stat2016_fake_SRB12                              -0.04, 0.79     * -0.00, 0.80*     *+0.06*      +0.065
stat2016_TT_SRB5                                 +0.04, 0.97        +0.00, 0.97       -0.06      -0.081
stat2016_TT_SRB15                                +0.05, 0.94        +0.00, 0.96       -0.06      -0.077
JEC                                              +0.03, 0.86     * +0.00, 0.92*       -0.06      -0.075
syst2017_JER                                     +0.05, 1.01        +0.00, 0.98       -0.05      -0.073
syst2016_tauES                                   -0.03, 0.67     * +0.00, 0.68*     *+0.05*      +0.043
stat2018_otherSM_SRB4                            +0.04, 0.99        +0.00, 0.99       -0.05      -0.065
stat2018_otherSM_SRB15                           +0.05, 0.95        +0.00, 0.96       -0.05      -0.072
stat2018_TT_SRB4                                 +0.03, 0.99        +0.00, 0.99       -0.05      -0.062
stat2017_fake_SRB12                              -0.03, 0.84     * +0.00, 0.84*     *+0.05*      +0.055
stat2016_fake_SRB4                               +0.04, 0.92        +0.00, 0.92       -0.05      -0.068
syst2018_bTaggingSF                              +0.03, 0.98        -0.00, 0.99       -0.04      -0.050
syst2016_ttbarSF                                 +0.03, 0.99        +0.00, 0.99       -0.04      -0.058
stat2017_fake_SRB9                               +0.03, 0.96        -0.00, 0.96       -0.04      -0.048
stat2017_fake_SRB6                               -0.02, 0.76     * +0.00, 0.76*     *+0.04*      +0.039
stat2017_fake_SRB3                               -0.03, 0.88     * +0.00, 0.89*     *+0.04*      +0.045
stat2017_fake_SRB13                              -0.02, 0.79     * +0.00, 0.79*     *+0.04*      +0.043
stat2017_TT_SRB9                                 +0.03, 0.95        -0.00, 0.95       -0.04      -0.056
stat2016_fake_SRB7                               -0.03, 0.79     * +0.00, 0.79*     *+0.04*      +0.049
stat2016_TT_SRB9                                 +0.03, 0.98        +0.00, 0.98       -0.04      -0.053
stat2016_TT_SRB4                                 +0.03, 0.95        +0.00, 0.95       -0.04      -0.056
