diffNuisances run on /nfs/dust/cms/user/sobhatta/work/stopPairToTau/combine/CMSSW_10_2_13/src/corrCovTestDir/SMS-T8bbstausnu_mStop-200to1800_XCha0p5_XStau0p5_tauTau_analysis_DYveto_pseudodataSB_combined_card2016_card2017_card2018/combineDatacard_SRB_1000_1_pseudodataSB/fitDiagnosticsTest.root, at 2021-11-02 09:34:42.710183 with the following options ... {'absolute_values': False, 'show_all_parameters': True, 'format': 'text', 'stol2': 0.5, 'pullDef': '', 'vtol': 0.3, 'stol': 0.1, 'plotfile': 'plots.root', 'skipFitB': False, 'sortBy': 'correlation', 'vtol2': 2.0, 'poi': 'r', 'skipFitS': False}

name                                              b-only fit            s+b fit         rho  approx impact
syst2018_tauFastFullSimSF                        +0.00, 1.00        +0.00, 0.98       -0.22      -0.062
syst2016_tauFastFullSimSF                        +0.00, 1.00        +0.00, 0.94       -0.21      -0.056
tauFakeRateRegion                                +0.65, 0.84     * -0.00, 0.86*     *-0.15*      -0.039
scale                                            +0.39, 0.92     * +0.00, 0.97*       -0.11      -0.031
syst2017_tauFastFullSimSF                        +0.00, 1.00        +0.00, 0.98       -0.10      -0.029
syst2018_tauIDisoSF                              -0.03, 0.92        -0.00, 0.90     *-0.09*      -0.022
tauFakeRateJetPartonFlav                         -0.01, 0.28     ! +0.00, 0.25!     !+0.08!      +0.006
stat2016_fake_SRB5                               +0.42, 0.93     * -0.00, 0.93*       -0.08      -0.022
sigMET                                           +0.00, 1.00        +0.00, 1.00       -0.08      -0.022
syst2018_tauTriggerSF                            -0.07, 0.74     * +0.00, 0.73*     *-0.07*      -0.014
syst2017_tauTriggerSF                            -0.08, 0.73     * +0.00, 0.72*     *-0.07*      -0.014
stat2018_fake_SRB2                               -0.13, 0.89     * +0.00, 0.89*     *+0.07*      +0.019
stat2017_fake_SRB15                              +0.19, 1.06        +0.00, 0.99       -0.07      -0.020
syst2016_tauIDisoSF                              -0.06, 0.86     * -0.00, 0.85*     *-0.06*      -0.014
syst2016_tauES                                   +0.08, 0.59     * +0.00, 0.71*     *-0.06*      -0.012
stat2018_DY_SRB5                                 +0.16, 1.07        +0.00, 0.98       -0.06      -0.017
stat2017_fake_SRB5                               +0.35, 0.96     * +0.00, 0.96*       -0.06      -0.017
stat2017_TT_SRB5                                 +0.22, 0.98        +0.00, 0.96       -0.06      -0.017
stat2018_otherSM_SRB15                           +0.13, 1.04        +0.00, 1.00       -0.05      -0.014
stat2018_fake_SRB5                               +0.80, 0.85     * +0.00, 0.98*       -0.05      -0.016
