diffNuisances run on /nfs/dust/cms/user/sobhatta/work/stopPairToTau/combine/CMSSW_10_2_13/src/corrCovTestDir/SMS-T8bbstausnu_mStop-200to1800_XCha0p5_XStau0p5_tauTau_analysis_DYveto_pseudodataSB_combined_card2016_card2017_card2018/combineDatacard_SRB_300_100_pseudodataSB/fitDiagnosticsTest.root, at 2021-11-02 02:30:07.319445 with the following options ... {'absolute_values': False, 'show_all_parameters': True, 'format': 'text', 'stol2': 0.5, 'pullDef': '', 'vtol': 0.3, 'stol': 0.1, 'plotfile': 'plots.root', 'skipFitB': False, 'sortBy': 'correlation', 'vtol2': 2.0, 'poi': 'r', 'skipFitS': False}

name                                              b-only fit            s+b fit         rho  approx impact
syst2018_tauTriggerSF                            +2.65, 0.75     ! +0.00, 0.82!     *-0.42*      -0.043
syst2017_tauTriggerSF                            +1.58, 0.79     * -0.00, 0.74*     *-0.41*      -0.037
sigMET                                           +0.00, 1.00        +0.00, 0.52     *-0.40*      -0.026
syst2016_tauIDisoSF                              +1.57, 0.91     * -0.00, 0.83*     *-0.37*      -0.038
syst2018_tauIDisoSF                              +1.38, 0.94     * +0.00, 0.89*     *-0.35*      -0.039
syst2016_tauTriggerSF                            +1.94, 0.87     * -0.00, 0.86*     *-0.31*      -0.033
syst2017_tauIDisoSF                              +0.78, 0.95     * +0.00, 0.91*       -0.21      -0.024
stat2018_sig_SRB5                                +0.00, 1.00        +0.00, 0.78     *-0.19*      -0.018
JEC                                              +2.44, 0.63     ! +0.00, 0.76!     *-0.19*      -0.018
syst2018_tauFastFullSimSF                        +0.00, 1.00        +0.00, 0.98       -0.16      -0.020
syst2016_tauFastFullSimSF                        +0.00, 1.00        -0.00, 0.96       -0.14      -0.017
stat2018_sig_SRB3                                +0.00, 1.00        -0.00, 0.81     *-0.13*      -0.013
syst2016_JER                                     -0.12, 0.49     ! -0.00, 0.81!     *+0.12*      +0.012
stat2016_sig_SRB5                                +0.00, 1.00        +0.00, 0.83     *-0.12*      -0.013
stat2016_sig_SRB2                                +0.00, 1.00        -0.00, 0.94       -0.12      -0.014
syst2018_luminosity                              +0.32, 1.00     * +0.00, 0.99*       -0.10      -0.012
stat2018_sig_SRB2                                +0.00, 1.00        +0.00, 0.93       -0.10      -0.011
stat2018_fake_SRB6                               -0.87, 0.74     * +0.00, 0.80*     *+0.10*      +0.010
stat2017_sig_SRB9                                +0.00, 1.00        -0.00, 0.82     *-0.10*      -0.010
stat2017_sig_SRB5                                +0.00, 1.00        -0.00, 0.83     *-0.09*      -0.009
tauFakeRateJetPartonFlav                         +0.93, 0.27     ! -0.00, 0.28!     !+0.08!      +0.003
syst2017_tauFastFullSimSF                        +0.00, 1.00        -0.00, 0.98       -0.08      -0.010
stat2018_fake_SRB12                              -0.65, 0.78     * -0.00, 0.79*     *+0.08*      +0.008
stat2018_fake_SRB1                               -1.49, 0.79     * +0.00, 0.80*     *+0.08*      +0.008
stat2016_fake_SRB2                               +2.70, 0.93     ! -0.00, 0.97!       -0.08      -0.010
normalization                                    +3.16, 1.06     ! +0.00, 0.97!       -0.08      -0.010
syst2016_luminosity                              +0.16, 1.00        -0.00, 0.99       -0.07      -0.008
stat2018_sig_SRB4                                +0.00, 1.00        +0.00, 0.81     *-0.07*      -0.007
stat2018_fake_SRB2                               +1.56, 1.21     * +0.00, 0.96*       -0.07      -0.008
stat2017_sig_SRB2                                +0.00, 1.00        +0.00, 0.94       -0.07      -0.009
stat2017_fake_SRB2                               +2.74, 1.00     ! +0.00, 0.95!       -0.07      -0.008
syst2018_tauES                                   -1.89, 0.95     * +0.00, 0.93*       -0.06      -0.007
stat2017_fake_SRB11                              -0.33, 0.75     * -0.00, 0.82*     *+0.06*      +0.006
syst2017_luminosity                              +0.08, 1.00        +0.00, 1.00       -0.05      -0.006
stat2018_sig_SRB6                                +0.00, 1.00        +0.00, 0.95       +0.05      +0.005
stat2016_TT_SRB2                                 +0.74, 1.01     * -0.00, 0.99*       -0.05      -0.006
syst2016_tauES                                   -0.12, 0.49     ! +0.00, 0.58!     *+0.04*      +0.003
stat2018_sig_SRB9                                +0.00, 1.00        -0.00, 0.87     *+0.04*      +0.005
stat2018_sig_SRB8                                +0.00, 1.00        -0.00, 0.88     *-0.04*      -0.004
stat2018_sig_SRB15                               +0.00, 1.00        -0.00, 0.89     *+0.04*      +0.004
stat2018_fake_SRB13                              -0.59, 0.78     * +0.00, 0.88*     *+0.04*      +0.004
stat2017_fake_SRB7                               +0.09, 0.83     * -0.00, 0.91*       +0.04      +0.004
stat2016_fake_SRB5                               +1.08, 0.50     * +0.00, 0.98*       -0.04      -0.005
stat2016_fake_SRB1                               -0.17, 0.89     * +0.00, 0.85*     *+0.04*      +0.004
tauFakeRateRegion                                +1.62, 0.70     * +0.00, 0.90*       -0.03      -0.004
stat2018_sig_SRB1                                +0.00, 1.00        +0.00, 0.97       +0.03      +0.003
stat2018_fake_SRB8                               -0.15, 0.64     * -0.00, 0.91*       -0.03      -0.004
stat2018_fake_SRB3                               +2.40, 0.17     ! -0.00, 0.99!       -0.03      -0.003
stat2018_DY_SRB13                                -0.66, 0.80     * +0.00, 0.93*       +0.03      +0.003
stat2017_sig_SRB8                                +0.00, 1.00        +0.00, 0.90     *-0.03*      -0.003
stat2017_sig_SRB7                                +0.00, 1.00        -0.00, 0.92       +0.03      +0.004
stat2017_TT_SRB2                                 +0.82, 1.00     * +0.00, 0.99*       -0.03      -0.004
stat2017_DY_SRB2                                 +1.36, 1.18     * +0.00, 0.99*       -0.03      -0.003
stat2016_sig_SRB7                                +0.00, 1.00        +0.00, 0.92       -0.03      -0.003
stat2016_sig_SRB10                               +0.00, 1.00        -0.00, 0.91       -0.03      -0.003
stat2016_fake_SRB7                               +0.48, 0.69     * +0.00, 0.90*       -0.03      -0.004
stat2016_fake_SRB6                               -0.83, 0.72     * -0.00, 0.84*     *+0.03*      +0.003
stat2016_fake_SRB13                              -0.69, 0.75     * -0.00, 0.97*       +0.03      +0.004
scale                                            +0.78, 0.96     * -0.00, 0.97*       -0.03      -0.003
syst2018_ttbarSF                                 +0.34, 0.99     * +0.00, 0.99*       -0.02      -0.002
syst2018_pileupReweight                          +0.18, 1.04        -0.00, 0.99       +0.02      +0.003
syst2018_JER                                     +0.17, 0.33     ! +0.00, 0.93!       +0.02      +0.002
syst2017_unclusteredEnergy                       -0.57, 0.76     * +0.00, 0.93*       -0.02      -0.003
syst2017_tauES                                   -0.02, 0.62     * -0.00, 0.92*       -0.02      -0.003
syst2017_JER                                     -0.32, 0.63     * -0.00, 0.98*       +0.02      +0.002
syst2016_unclusteredEnergy                       +0.06, 0.80     * -0.00, 0.94*       -0.02      -0.003
stat2018_sig_SRB7                                +0.00, 1.00        +0.00, 0.89     *+0.02*      +0.002
stat2018_sig_SRB12                               +0.00, 1.00        -0.00, 0.99       +0.02      +0.002
stat2018_fake_SRB9                               +0.29, 0.78     * -0.00, 0.97*       +0.02      +0.002
stat2018_fake_SRB7                               +1.39, 0.93     * +0.00, 0.90*       +0.02      +0.002
stat2018_fake_SRB4                               +1.67, 1.10     * +0.00, 0.98*       -0.02      -0.003
stat2018_TT_SRB2                                 +0.31, 1.00     * +0.00, 1.00*       -0.02      -0.002
stat2018_DY_SRB5                                 +0.03, 1.01        +0.00, 1.00       -0.02      -0.002
stat2018_DY_SRB3                                 +0.16, 1.03        +0.00, 0.99       -0.02      -0.003
stat2018_DY_SRB2                                 +1.77, 0.98     * +0.00, 1.00*       -0.02      -0.003
stat2018_DY_SRB12                                -0.45, 0.87     * -0.00, 0.98*       +0.02      +0.002
stat2018_DY_SRB1                                 -0.81, 0.92     * +0.00, 0.98*       +0.02      +0.002
stat2017_sig_SRB3                                +0.00, 1.00        +0.00, 0.90     *-0.02*      -0.002
stat2017_sig_SRB11                               +0.00, 1.00        -0.00, 0.97       +0.02      +0.003
stat2017_fake_SRB9                               +0.59, 1.22     * -0.00, 0.99*       -0.02      -0.002
stat2017_fake_SRB8                               -0.21, 0.80     * +0.00, 0.94*       -0.02      -0.002
stat2017_fake_SRB6                               -0.86, 0.72     * +0.00, 0.80*     *+0.02*      +0.002
stat2017_TT_SRB9                                 +0.28, 1.04        -0.00, 0.99       -0.02      -0.002
stat2017_TT_SRB11                                -0.16, 0.94        -0.00, 0.97       +0.02      +0.002
stat2016_sig_SRB9                                +0.00, 1.00        +0.00, 0.88     *+0.02*      +0.002
stat2016_sig_SRB6                                +0.00, 1.00        -0.00, 0.95       +0.02      +0.002
stat2016_sig_SRB4                                +0.00, 1.00        -0.00, 0.85     *-0.02*      -0.002
stat2016_sig_SRB3                                +0.00, 1.00        +0.00, 0.89     *-0.02*      -0.002
stat2016_sig_SRB1                                +0.00, 1.00        -0.00, 0.95       +0.02      +0.002
stat2016_fake_SRB8                               -0.64, 0.74     * -0.00, 0.89*     *+0.02*      +0.003
stat2016_fake_SRB11                              -0.20, 0.84     * +0.00, 0.82*     *+0.02*      +0.002
stat2016_TT_SRB5                                 +0.11, 1.01        -0.00, 0.99       -0.02      -0.003
stat2016_DY_SRB5                                 +0.13, 1.03        -0.00, 1.00       -0.02      -0.002
stat2016_DY_SRB2                                 +0.64, 1.05     * -0.00, 1.00*       -0.02      -0.003
syst2018_bTaggingSF                              +1.37, 1.02     * +0.00, 0.99*       -0.01      -0.001
syst2017_ttbarSF                                 +0.22, 0.99        +0.00, 1.00       -0.01      -0.002
syst2017_pileupReweight                          -0.07, 0.97        +0.00, 0.99       -0.01      -0.001
syst2016_ttbarSF                                 +0.16, 1.00        +0.00, 1.00       -0.01      -0.002
syst2016_pileupReweight                          -0.01, 1.01        -0.00, 0.99       -0.01      -0.002
syst2016_bTaggingSF                              +0.28, 1.00        +0.00, 1.00       -0.01      -0.001
syst2016_ZpTreweight                             +0.12, 1.00        -0.00, 1.00       -0.01      -0.001
stat2018_sig_SRB10                               +0.00, 1.00        -0.00, 0.82     *-0.01*      -0.001
stat2018_otherSM_SRB6                            -0.17, 0.97        +0.00, 1.00       +0.01      +0.001
stat2018_otherSM_SRB5                            +0.02, 1.00        +0.00, 1.00       -0.01      -0.001
stat2018_otherSM_SRB4                            +0.26, 1.03        +0.00, 1.00       -0.01      -0.001
stat2018_otherSM_SRB3                            +0.06, 1.01        +0.00, 1.00       -0.01      -0.001
stat2018_otherSM_SRB2                            +0.38, 1.02     * +0.00, 1.00*       -0.01      -0.001
stat2018_otherSM_SRB15                           +0.16, 0.89     * -0.00, 0.99*       +0.01      +0.001
stat2018_fake_SRB5                               +1.61, 0.19     ! +0.00, 1.00!       -0.01      -0.002
stat2018_TT_SRB6                                 -0.16, 0.99        +0.00, 1.00       +0.01      +0.001
stat2018_TT_SRB5                                 +0.01, 1.00        +0.00, 1.00       -0.01      -0.001
stat2018_TT_SRB4                                 +0.14, 1.00        +0.00, 1.00       -0.01      -0.001
stat2018_TT_SRB3                                 +0.04, 1.00        +0.00, 1.00       -0.01      -0.001
stat2018_TT_SRB12                                -0.12, 0.99        -0.00, 1.00       +0.01      +0.001
stat2018_TT_SRB1                                 -0.22, 0.99        +0.00, 1.00       +0.01      +0.001
stat2018_DY_SRB6                                 -0.21, 0.96        +0.00, 1.00       +0.01      +0.002
stat2018_DY_SRB4                                 +0.83, 1.30     * +0.00, 0.99*       -0.01      -0.001
stat2017_sig_SRB6                                +0.00, 1.00        +0.00, 0.98       +0.01      +0.001
stat2017_sig_SRB4                                +0.00, 1.00        -0.00, 0.86     *-0.01*      -0.001
stat2017_sig_SRB14                               +0.00, 1.00        +0.00, 0.96       +0.01      +0.001
stat2017_sig_SRB10                               +0.00, 1.00        -0.00, 0.87     *+0.01*      +0.001
stat2017_otherSM_SRB9                            +0.14, 1.03        -0.00, 1.00       -0.01      -0.001
stat2017_otherSM_SRB5                            +0.21, 1.09        -0.00, 1.00       -0.01      -0.001
stat2017_otherSM_SRB2                            +0.25, 1.01        +0.00, 1.00       -0.01      -0.001
stat2017_fake_SRB5                               +2.37, 0.48     ! -0.00, 0.99!       -0.01      -0.002
stat2017_fake_SRB3                               -0.21, 0.83     * +0.00, 0.95*       -0.01      -0.001
stat2017_fake_SRB15                              -0.50, 0.84     * -0.00, 0.94*       +0.01      +0.001
stat2017_fake_SRB14                              -0.43, 0.90     * +0.00, 0.97*       +0.01      +0.001
stat2017_fake_SRB13                              -0.73, 0.71     * -0.00, 0.79*     *+0.01*      +0.001
stat2017_fake_SRB12                              -1.29, 0.78     * +0.00, 0.86*     *+0.01*      +0.001
stat2017_fake_SRB1                               -1.07, 0.80     * +0.00, 0.82*     *+0.01*      +0.001
stat2017_TT_SRB8                                 -0.06, 0.98        +0.00, 0.99       -0.01      -0.001
stat2017_TT_SRB7                                 +0.04, 0.97        -0.00, 0.98       +0.01      +0.002
stat2017_TT_SRB5                                 +0.17, 1.02        -0.00, 0.99       -0.01      -0.002
stat2017_TT_SRB3                                 -0.08, 0.97        +0.00, 0.98       -0.01      -0.001
stat2017_TT_SRB14                                -0.16, 0.94        +0.00, 0.98       +0.01      +0.001
stat2017_DY_SRB7                                 +0.05, 0.96        -0.00, 1.00       +0.01      +0.001
stat2016_sig_SRB8                                +0.00, 1.00        -0.00, 0.99       +0.01      +0.001
stat2016_sig_SRB13                               +0.00, 1.00        -0.00, 1.00       +0.01      +0.001
stat2016_otherSM_SRB5                            +0.09, 1.01        -0.00, 1.00       -0.01      -0.001
stat2016_otherSM_SRB2                            +0.29, 1.01        -0.00, 1.00       -0.01      -0.001
stat2016_fake_SRB9                               +0.66, 0.58     * +0.00, 0.97*       +0.01      +0.001
stat2016_fake_SRB3                               -0.21, 0.78     * -0.00, 0.94*       -0.01      -0.001
stat2016_fake_SRB12                              -0.82, 0.70     * -0.00, 0.86*     *+0.01*      +0.001
stat2016_fake_SRB10                              -0.15, 0.91        -0.00, 0.98       -0.01      -0.002
stat2016_TT_SRB8                                 -0.25, 0.93        -0.00, 0.97       +0.01      +0.001
stat2016_TT_SRB7                                 +0.16, 0.98        +0.00, 0.98       -0.01      -0.002
stat2016_TT_SRB6                                 -0.28, 0.96        -0.00, 0.98       +0.01      +0.001
stat2016_TT_SRB3                                 -0.08, 0.97        -0.00, 0.98       -0.01      -0.001
stat2016_TT_SRB15                                -0.06, 0.93        +0.00, 0.94       +0.01      +0.001
stat2016_TT_SRB11                                -0.13, 0.94        +0.01, 0.97       +0.01      +0.001
stat2016_TT_SRB10                                -0.02, 1.00        -0.00, 1.00       -0.01      -0.001
stat2016_TT_SRB1                                 -0.07, 0.98        -0.00, 0.98       +0.01      +0.001
stat2016_DY_SRB13                                -0.04, 1.00        -0.00, 1.00       +0.01      +0.001
stat2016_DY_SRB10                                -0.07, 0.96        -0.00, 1.00       -0.01      -0.001
stat2016_DY_SRB1                                 -0.10, 0.96        -0.00, 0.99       +0.01      +0.001
syst2018_unclusteredEnergy                       -0.01, 0.47     ! +0.00, 0.95!       +0.00      +0.001
syst2018_ZpTreweight                             +0.22, 1.01        +0.00, 1.00       +0.00      +0.000
syst2017_bTaggingSF                              +0.10, 0.98        +0.00, 1.00       -0.00      -0.001
syst2017_ZpTreweight                             -0.06, 1.00        +0.00, 1.00       +0.00      +0.000
stat2018_sig_SRB14                               +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2018_sig_SRB13                               +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2018_sig_SRB11                               +0.00, 1.00        -0.00, 0.98       +0.00      +0.000
stat2018_otherSM_SRB9                            +0.03, 1.01        -0.00, 1.00       +0.00      +0.000
stat2018_otherSM_SRB8                            -0.00, 1.00        -0.00, 1.00       -0.00      -0.000
stat2018_otherSM_SRB7                            +0.31, 1.03     * +0.00, 1.00*       +0.00      +0.000
stat2018_otherSM_SRB14                           -0.02, 1.00        +0.00, 1.00       +0.00      +0.000
stat2018_otherSM_SRB13                           -0.02, 1.00        +0.00, 1.00       +0.00      +0.000
stat2018_otherSM_SRB12                           -0.14, 0.97        -0.00, 1.00       +0.00      +0.000
stat2018_otherSM_SRB11                           -0.11, 0.98        -0.00, 1.00       +0.00      +0.000
stat2018_otherSM_SRB10                           -0.01, 0.99        -0.00, 1.00       -0.00      -0.000
stat2018_otherSM_SRB1                            -0.23, 0.99        +0.00, 1.00       +0.00      +0.001
stat2018_fake_SRB15                              +0.00, 1.40     * +0.00, 1.00*       +0.00      +0.000
stat2018_fake_SRB14                              +0.00, 0.62     * +0.00, 1.00*       +0.00      +0.000
stat2018_fake_SRB11                              -0.88, 0.68     * -0.00, 0.76*     *+0.00*      +0.000
stat2018_fake_SRB10                              -0.09, 0.76     * -0.00, 0.98*       -0.00      -0.000
stat2018_TT_SRB9                                 +0.04, 1.00        -0.00, 1.00       +0.00      +0.001
stat2018_TT_SRB8                                 -0.02, 1.00        -0.00, 1.00       -0.00      -0.001
stat2018_TT_SRB7                                 +0.25, 1.00        +0.00, 1.00       +0.00      +0.000
stat2018_TT_SRB15                                +0.02, 1.01        -0.00, 1.00       +0.00      +0.000
stat2018_TT_SRB14                                +0.00, 0.90     * +0.00, 1.00*       +0.00      +0.000
stat2018_TT_SRB13                                -0.11, 0.98        +0.00, 1.00       +0.00      +0.001
stat2018_TT_SRB11                                -0.09, 0.99        -0.00, 1.00       +0.00      +0.000
stat2018_TT_SRB10                                -0.01, 1.00        -0.00, 1.00       -0.00      -0.000
stat2018_DY_SRB9                                 +0.00, 1.29     * +0.00, 1.00*       +0.00      +0.000
stat2018_DY_SRB8                                 +0.00, 0.93        +0.00, 1.00       -0.00      -0.000
stat2018_DY_SRB7                                 +0.76, 1.11     * +0.00, 1.00*       +0.00      +0.000
stat2018_DY_SRB15                                +0.00, 6.15     ! +0.00, 1.00!       +0.00      +0.000
stat2018_DY_SRB14                                +0.00, 0.36     ! +0.00, 1.00!       +0.00      +0.000
stat2018_DY_SRB11                                -0.05, 1.00        -0.00, 1.00       +0.00      +0.000
stat2018_DY_SRB10                                +0.00, 0.92        +0.00, 1.00       -0.00      -0.000
stat2017_sig_SRB15                               +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2017_sig_SRB13                               +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2017_sig_SRB12                               +0.00, 1.00        +0.00, 0.98       +0.00      +0.000
stat2017_sig_SRB1                                +0.00, 1.00        +0.00, 0.97       +0.00      +0.000
stat2017_otherSM_SRB8                            -0.03, 0.99        +0.00, 1.00       -0.00      -0.000
stat2017_otherSM_SRB7                            +0.01, 1.00        -0.00, 1.00       +0.00      +0.000
stat2017_otherSM_SRB6                            -0.08, 0.99        +0.00, 1.00       +0.00      +0.000
stat2017_otherSM_SRB4                            +0.04, 1.00        -0.00, 1.00       -0.00      -0.000
stat2017_otherSM_SRB3                            -0.04, 0.99        +0.00, 1.00       -0.00      -0.000
stat2017_otherSM_SRB15                           -0.01, 1.00        -0.00, 1.00       +0.00      +0.000
stat2017_otherSM_SRB14                           -0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2017_otherSM_SRB13                           -0.11, 0.97        -0.00, 1.00       +0.00      +0.000
stat2017_otherSM_SRB12                           -0.12, 0.98        +0.00, 1.00       +0.00      +0.000
stat2017_otherSM_SRB11                           -0.07, 0.98        -0.00, 1.00       +0.00      +0.000
stat2017_otherSM_SRB10                           -0.02, 0.85     * -0.00, 0.98*       +0.00      +0.000
stat2017_otherSM_SRB1                            -0.14, 0.99        +0.00, 1.00       +0.00      +0.000
stat2017_fake_SRB4                               +0.10, 1.03        -0.00, 0.98       -0.00      -0.000
stat2017_TT_SRB6                                 -0.27, 0.97        +0.00, 0.99       +0.00      +0.001
stat2017_TT_SRB4                                 +0.05, 1.00        -0.00, 0.99       -0.00      -0.000
stat2017_TT_SRB15                                -0.16, 0.94        -0.00, 0.98       +0.00      +0.001
stat2017_TT_SRB13                                -0.13, 0.96        -0.00, 0.99       +0.00      +0.000
stat2017_TT_SRB12                                -0.34, 0.95     * +0.00, 0.99*       +0.00      +0.000
stat2017_TT_SRB10                                -0.00, 0.99        -0.00, 1.00       +0.00      +0.000
stat2017_TT_SRB1                                 -0.30, 0.98        +0.00, 0.99       +0.00      +0.000
stat2017_DY_SRB9                                 +2.92, 2.40     ! +0.00, 1.00!       -0.00      -0.000
stat2017_DY_SRB8                                 -0.04, 0.98        +0.00, 1.00       -0.00      -0.000
stat2017_DY_SRB6                                 -0.11, 0.98        +0.00, 0.99       +0.00      +0.000
stat2017_DY_SRB5                                 +0.00, 1.76     ! +0.00, 1.00!       -0.00      -0.000
stat2017_DY_SRB4                                 +0.39, 0.91     * -0.00, 1.00*       -0.00      -0.000
stat2017_DY_SRB3                                 -0.11, 0.95        +0.00, 1.00       -0.00      -0.000
stat2017_DY_SRB15                                +0.00, 0.32     ! +0.00, 1.00!       +0.00      +0.000
stat2017_DY_SRB14                                +0.00, 0.40     ! +0.00, 1.00!       +0.00      +0.000
stat2017_DY_SRB13                                +0.00, 0.42     ! +0.00, 1.00!       +0.00      +0.000
stat2017_DY_SRB12                                -0.39, 0.89     * +0.00, 0.99*       +0.00      +0.000
stat2017_DY_SRB11                                +0.00, 0.69     * +0.00, 1.00*       +0.00      +0.000
stat2017_DY_SRB10                                +0.00, 0.95        +0.00, 1.00       +0.00      +0.000
stat2017_DY_SRB1                                 -0.67, 0.92     * +0.00, 0.98*       +0.00      +0.000
stat2016_sig_SRB15                               +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2016_sig_SRB14                               +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2016_sig_SRB12                               +0.00, 1.00        -0.00, 0.95       +0.00      +0.001
stat2016_sig_SRB11                               +0.00, 1.00        +0.00, 0.99       +0.00      +0.000
stat2016_otherSM_SRB9                            +0.04, 1.02        +0.00, 1.00       +0.00      +0.000
